"species","soil.nitrogen","biomass.raw"
"Agropyron",75.4966887417218,0.494350282485876
"Agropyron",212.582781456954,0.553672316384181
"Agropyron",224.503311258278,0.610169491525424
"Agropyron",347.682119205298,0.65819209039548
"Agropyron",454.966887417219,0.65819209039548
"Agropyron",560.264900662252,0.728813559322034
"Agropyron",572.185430463576,0.754237288135593
"Agropyron",892.05298013245,0.805084745762712
"Agropyron",1120.5298013245,0.830508474576271
"Schizachyrium",93.377483443709,0.553672316384181
"Schizachyrium",192.71523178808,0.646892655367232
"Schizachyrium",242.384105960265,0.629943502824859
"Schizachyrium",421.192052980133,0.754237288135593
"Schizachyrium",480.794701986755,0.785310734463277
"Schizachyrium",492.71523178808,0.76271186440678
"Schizachyrium",530.463576158941,0.838983050847458
"Schizachyrium",693.377483443709,0.833333333333333
"Schizachyrium",1060.92715231788,0.88135593220339
"Poa",93.5323383084577,0.574285714285714
"Poa",238.805970149254,0.634285714285714
"Poa",238.805970149254,0.668571428571429
"Poa",423.880597014925,0.662857142857143
"Poa",443.781094527363,0.68
"Poa",443.781094527363,0.751428571428571
"Poa",497.512437810945,0.717142857142857
"Poa",911.442786069651,0.857142857142857
"Poa",1110.44776119403,0.865714285714285
"Agrostis",85.2892561983472,0.541310541310542
"Agrostis",198.347107438016,0.80911680911681
"Agrostis",245.95041322314,0.851851851851852
"Agrostis",378.842975206611,0.786324786324786
"Agrostis",487.93388429752,0.809116809116809
"Agrostis",539.504132231405,0.837606837606838
"Agrostis",654.545454545455,0.746438746438747
"Agrostis",852.892561983471,0.874643874643875
"Agrostis",1140.4958677686,0.834757834757835
